domain,owner,base_domain,dnssec,spf_valid,dmarc_valid,dmarc_adkim,dmarc_aspf,dmarc_fo,dmarc_p,dmarc_pct,dmarc_rf,dmarc_ri,dmarc_rua,dmarc_ruf,dmarc_sp,mx,tls,starttls,spf_record,dmarc_record,dmarc_record_location,mx_error,mx_warnings,spf_error,spf_warnings,dmarc_error,dmarc_warnings,ns,ns_error,ns_warnings
1docway.com,UNH,1docway.com,False,False,True,r,r,1,none,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,none,"1, mailrnh.corpmailsvcs.com",,,v=spf1 a mx include:spf.mtasv.net include:mailgun.org include:_spf.paubox.com include:_spfv4fw.corpmailsvcs.com include:_spfv4corpms.corpmailsvcs.com include:_spfv4rnh.corpmailsvcs.com include:_spfv4comm.corpmailsvcs.com -all,v=DMARC1; p=none; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,1docway.com,,"The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 149.111.205.117 is ovarp0671.corpmailsvcs.com, but the A/AAAA DNS records for ovarp0671.corpmailsvcs.com do not resolve to 149.111.205.117",Parsing the SPF record requires 11/10 maximum DNS lookups - https://tools.ietf.org/html/rfc7208#section-4.6.4,,,,abby.ns.cloudflare.com|jerome.ns.cloudflare.com,,
2kps.net,BRK,2kps.net,False,True,False,,,,,,,,,,,"0, 2kps-net.mail.protection.outlook.com",,,v=spf1 a ip4:83.218.145.88/29 include:spf-00276401.pphosted.com include:spf.protection.outlook.com include:spf.mandrillapp.com ~all,,,,,,,A DMARC record does not exist for this domain or its base domain,,ns1.livedns.co.uk|ns3.livedns.co.uk|ns2.livedns.co.uk,,
aarpmedicareplans.com,UNH,aarpmedicareplans.com,False,True,True,r,r,1,reject,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,reject,"10, mail1.corpmailsvcs.com|10, mail10.corpmailsvcs.com|10, mail11.corpmailsvcs.com|10, mail128.corpmailsvcs.com|10, mail131.corpmailsvcs.com|10, mail134.corpmailsvcs.com|10, mail17.corpmailsvcs.com|10, mail2.corpmailsvcs.com|10, mail20.corpmailsvcs.com|10, mail21.corpmailsvcs.com|10, mail27.corpmailsvcs.com|10, mail30.corpmailsvcs.com|10, mail33.corpmailsvcs.com|10, mail36.corpmailsvcs.com|10, mail50.corpmailsvcs.com|10, mail51.corpmailsvcs.com",,,v=spf1 include:_spfv4.corpmailsvcs.com -all,v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,aarpmedicareplans.com,,,,,,,edns4.ultradns.com|edns4.ultradns.net|edns4.ultradns.org|edns4.ultradns.biz,,
abc.xyz,GOOG,abc.xyz,False,True,True,r,r,0,reject,100,a:f:r:f,86400,mailto:mailauth-reports@google.com,,reject,"0, smtp.google.com",,,v=spf1 include:_spf.google.com ~all,v=DMARC1; p=reject; rua=mailto:mailauth-reports@google.com,abc.xyz,,"The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 2607:f8b0:4002:c09::1b is yb-in-x1b.1e100.net, but the A/AAAA DNS records for yb-in-x1b.1e100.net do not resolve to 2607:f8b0:4002:c09::1b",,,,,ns2.google.com|ns4.google.com|ns3.google.com|ns1.google.com,,
about.google,GOOG,about.google,True,True,True,r,r,0,none,100,a:f:r:f,86400,mailto:mailauth-reports@google.com,,none,,,,v=spf1 ?all,v=DMARC1; p=none; rua=mailto:mailauth-reports@google.com,about.google,,No MX records found. Is the domain parked?,,,,,ns2.zdns.google|ns1.zdns.google|ns4.zdns.google|ns3.zdns.google,,
accuregsoftware.com,UNH,accuregsoftware.com,False,True,True,r,r,1,none,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,none,"5, mailrnh.corpmailsvcs.com",,,v=spf1 include:_spfae.corpmailsvcs.com include:spf.protection.outlook.com -all,v=DMARC1; p=none; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,accuregsoftware.com,,,,,,,evan.ns.cloudflare.com|rihana.ns.cloudflare.com,,
ace-endoscopy.com,UNH,ace-endoscopy.com,False,True,True,r,r,0,reject,100,a:f:r:f,86400,mailto:e9fbkgxn@ag.c1.dmarcian.com,mailto:e9fbkgxn@fr.c1.dmarcian.com,reject,"0, mail.ace-endoscopy.com",,,v=spf1 -all,v=DMARC1; p=reject; rua=mailto:e9fbkgxn@ag.c1.dmarcian.com; ruf=mailto:e9fbkgxn@fr.c1.dmarcian.com;,ace-endoscopy.com,,The domain mail.ace-endoscopy.com does not exist,,,,,pdns11.domaincontrol.com|pdns12.domaincontrol.com,,
acumed.net,BRK,acumed.net,False,True,True,r,r,0,quarantine,100,a:f:r:f,86400,mailto:itservices@acumed.net,,quarantine,"1, acumed-net.mail.protection.outlook.com",,,v=spf1 include:servers.mcsv.net include:spf.protection.outlook.com include:spf.dynect.net include:_spf.salesforce.com ip4:174.129.192.189 ip4:72.14.189.178 ip4:173.230.145.51 ip4:208.86.168.7 ip4:44.228.17.135 ip4:35.166.118.247 ip4:54.244.183.127 a mx ~all,v=DMARC1; p=quarantine; rua=mailto:itservices@acumed.net,acumed.net,,52.101.8.36 does not have any reverse DNS (PTR) records,,,,,pdns07.domaincontrol.com|pdns08.domaincontrol.com,,
advanced-therapy.org,UNH,advanced-therapy.org,False,True,True,r,r,1,reject,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,reject,"0, mailrnh.corpmailsvcs.com",,,v=spf1 ip4:209.160.104.115 ip4:209.160.104.120 ip4:66.206.11.214 include:_spfae.corpmailsvcs.com include:spf.protection.outlook.com ~all,v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,advanced-therapy.org,,,,,,,edns4.ultradns.org|epla1.corpnamesvcs.com|edns4.ultradns.net|epla2.corpnamesvcs.com|edns4.ultradns.biz|edns4.ultradns.com,,
advancedsurgcenter.com,UNH,advancedsurgcenter.com,False,False,False,,,,,,,,,,,"0, mail.advancedsurgcenter.com",,,v=spf1 ip4:50.87.253.164 a mx include:websitewelcome.com ~all,,,,,Parsing the SPF record requires 12/10 maximum DNS lookups - https://tools.ietf.org/html/rfc7208#section-4.6.4,,A DMARC record does not exist for this domain or its base domain,,ns2.bluehost.com|ns1.bluehost.com,,
