domain,base_domain,dnssec,spf_valid,dmarc_valid,dmarc_adkim,dmarc_aspf,dmarc_fo,dmarc_p,dmarc_pct,dmarc_rf,dmarc_ri,dmarc_rua,dmarc_ruf,dmarc_sp,mx,tls,starttls,spf_record,dmarc_record,dmarc_record_location,mx_error,mx_warnings,spf_error,spf_warnings,dmarc_error,dmarc_warnings,ns,ns_error,ns_warnings
amazon-adsystem.com,amazon-adsystem.com,False,True,True,r,r,0,reject,100,a:f:r:f,86400,mailto:report@dmarc.amazon.com,mailto:report@dmarc.amazon.com,reject,,,,v=spf1 -all,v=DMARC1; p=reject; rua=mailto:report@dmarc.amazon.com; ruf=mailto:report@dmarc.amazon.com,amazon-adsystem.com,,No MX records found. Is the domain parked?,,,,"dmarc.amazon.com does not indicate that it accepts DMARC reports about amazon-adsystem.com - Authorization record not found: amazon-adsystem.com._report._dmarc.dmarc.amazon.com ""                     IN TXT ""v=DMARC1""|dmarc.amazon.com does not indicate that it accepts DMARC reports about amazon-adsystem.com - Authorization record not found: amazon-adsystem.com._report._dmarc.dmarc.amazon.com ""                     IN TXT ""v=DMARC1""",ns2.amzndns.org|ns1.amzndns.com|ns2.amzndns.co.uk|ns1.amzndns.co.uk|ns2.amzndns.net|ns2.amzndns.com|ns1.amzndns.net|ns1.amzndns.org,,
amazon.ae,amazon.ae,False,True,True,r,r,0,quarantine,100,a:f:r:f,86400,mailto:report@dmarc.amazon.com,mailto:report@dmarc.amazon.com,quarantine,"10, amazon-smtp.amazon.com",,,v=spf1 include:amazon.com -all,v=DMARC1;p=quarantine;pct=100;rua=mailto:report@dmarc.amazon.com;ruf=mailto:report@dmarc.amazon.com,amazon.ae,,,,,,,ns2.amzndns.net|ns1.amzndns.co.uk|ns1.amzndns.org|ns2.amzndns.org|ns2.amzndns.co.uk|ns2.amzndns.com|ns1.amzndns.com|ns1.amzndns.net,,
amazon.ca,amazon.ca,False,True,True,r,r,0,quarantine,100,a:f:r:f,86400,mailto:report@dmarc.amazon.com,mailto:report@dmarc.amazon.com,quarantine,"10, amazon-smtp.amazon.com",,,v=spf1 include:amazon.com -all,v=DMARC1;p=quarantine;pct=100;rua=mailto:report@dmarc.amazon.com;ruf=mailto:report@dmarc.amazon.com,amazon.ca,,"The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 3.222.250.144 is smtp03.us-east-1.mail-perimeter.amazon.com, but the A/AAAA DNS records for smtp03.us-east-1.mail-perimeter.amazon.com do not resolve to 3.222.250.144",,,,,ns2.amzndns.com|ns2.amzndns.co.uk|ns2.amzndns.org|ns2.amzndns.net|ns1.amzndns.co.uk|ns1.amzndns.org|ns1.amzndns.com|ns1.amzndns.net,,
amazon.cn,amazon.cn,False,True,True,r,r,0,quarantine,100,a:f:r:f,86400,mailto:report@dmarc.amazon.com,mailto:report@dmarc.amazon.com,quarantine,"10, amazon-smtp.amazon.com",,,v=spf1 include:amazon.com -all,v=DMARC1;p=quarantine;pct=100;rua=mailto:report@dmarc.amazon.com;ruf=mailto:report@dmarc.amazon.com,amazon.cn,,,,,,,ns2.amzndns-cn.net|ns1.amzndns-cn.biz|ns1.amzndns-cn.cn|ns1.amzndns-cn.com|ns1.amzndns-cn.net|ns2.amzndns-cn.com|ns2.amzndns-cn.cn|ns2.amzndns-cn.biz,,
amazon.co.uk,amazon.co.uk,False,True,True,r,r,0,quarantine,100,a:f:r:f,86400,mailto:report@dmarc.amazon.com,mailto:report@dmarc.amazon.com,quarantine,"10, amazon-smtp.amazon.com",,,v=spf1 include:amazon.com -all,v=DMARC1;p=quarantine;pct=100;rua=mailto:report@dmarc.amazon.com;ruf=mailto:report@dmarc.amazon.com,amazon.co.uk,,,,,,,ns2.amzndns.com|ns2.amzndns.net|ns1.amzndns.co.uk|ns1.amzndns.org|ns2.amzndns.co.uk|ns2.amzndns.org|ns1.amzndns.net|ns1.amzndns.com,,
amazon.com,amazon.com,False,True,True,r,r,0,quarantine,100,a:f:r:f,86400,mailto:report@dmarc.amazon.com,mailto:report@dmarc.amazon.com,quarantine,"5, amazon-smtp.amazon.com",,,v=spf1 include:spf1.amazon.com include:spf2.amazon.com include:amazonses.com -all,v=DMARC1;p=quarantine;pct=100;rua=mailto:report@dmarc.amazon.com;ruf=mailto:report@dmarc.amazon.com,amazon.com,,,,,,,ns1.amzndns.co.uk|ns1.amzndns.com|ns1.amzndns.net|ns1.amzndns.org|ns2.amzndns.co.uk|ns2.amzndns.com|ns2.amzndns.net|ns2.amzndns.org,,
amazon.com.au,amazon.com.au,False,True,True,r,r,0,quarantine,100,a:f:r:f,86400,mailto:report@dmarc.amazon.com,mailto:report@dmarc.amazon.com,quarantine,"10, amazon-smtp.amazon.com",,,v=spf1 include:amazon.com -all,v=DMARC1;p=quarantine;pct=100;rua=mailto:report@dmarc.amazon.com;ruf=mailto:report@dmarc.amazon.com,amazon.com.au,,,,,,,ns1.amzndns.co.uk|ns2.amzndns.net|ns1.amzndns.org|ns2.amzndns.org|ns1.amzndns.com|ns1.amzndns.net|ns2.amzndns.com|ns2.amzndns.co.uk,,
amazon.com.be,com.be,False,True,True,r,r,0,quarantine,100,a:f:r:f,86400,mailto:report@dmarc.amazon.com,mailto:report@dmarc.amazon.com,quarantine,"10, amazon-smtp.amazon.com",,,v=spf1 include:amazon.com -all,v=DMARC1;p=quarantine;pct=100;rua=mailto:report@dmarc.amazon.com;ruf=mailto:report@dmarc.amazon.com,amazon.com.be,,,,,,,ns1.amzndns.co.uk|ns1.amzndns.net|ns2.amzndns.net|ns1.amzndns.org|ns1.amzndns.com|ns2.amzndns.com|ns2.amzndns.co.uk|ns2.amzndns.org,,
amazon.com.br,amazon.com.br,False,True,True,r,r,0,quarantine,100,a:f:r:f,86400,mailto:report@dmarc.amazon.com,mailto:report@dmarc.amazon.com,quarantine,"10, amazon-smtp.amazon.com",,,v=spf1 include:amazon.com -all,v=DMARC1;p=quarantine;pct=100;rua=mailto:report@dmarc.amazon.com;ruf=mailto:report@dmarc.amazon.com,amazon.com.br,,,,,,,ns1.amzndns.co.uk|ns1.amzndns.net|ns2.amzndns.com|ns2.amzndns.org|ns1.amzndns.org|ns1.amzndns.com|ns2.amzndns.net|ns2.amzndns.co.uk,,
amazon.com.tr,amazon.com.tr,False,True,True,r,r,0,quarantine,100,a:f:r:f,86400,mailto:report@dmarc.amazon.com,mailto:report@dmarc.amazon.com,quarantine,"0, amazon-smtp.amazon.com",,,v=spf1 include:amazon.com -all,v=DMARC1;p=quarantine;pct=100;rua=mailto:report@dmarc.amazon.com;ruf=mailto:report@dmarc.amazon.com,amazon.com.tr,,,,,,,ns2.amzndns.org|ns1.amzndns.co.uk|ns2.amzndns.co.uk|ns2.amzndns.com|ns1.amzndns.org|ns1.amzndns.com|ns1.amzndns.net|ns2.amzndns.net,,
