domain,base_domain,dnssec,spf_valid,dmarc_valid,dmarc_adkim,dmarc_aspf,dmarc_fo,dmarc_p,dmarc_pct,dmarc_rf,dmarc_ri,dmarc_rua,dmarc_ruf,dmarc_sp,mx,tls,starttls,spf_record,dmarc_record,dmarc_record_location,mx_error,mx_warnings,spf_error,spf_warnings,dmarc_error,dmarc_warnings,ns,ns_error,ns_warnings
2kps.net,2kps.net,False,True,False,,,,,,,,,,,"0, 2kps-net.mail.protection.outlook.com",,,v=spf1 a ip4:83.218.145.88/29 include:spf-00276401.pphosted.com include:spf.protection.outlook.com include:spf.mandrillapp.com ~all,,,,,,,A DMARC record does not exist for this domain or its base domain,,ns1.livedns.co.uk|ns3.livedns.co.uk|ns2.livedns.co.uk,,
acumed.net,acumed.net,False,True,True,r,r,0,quarantine,100,a:f:r:f,86400,mailto:itservices@acumed.net,,quarantine,"1, acumed-net.mail.protection.outlook.com",,,v=spf1 include:servers.mcsv.net include:spf.protection.outlook.com include:spf.dynect.net include:_spf.salesforce.com ip4:174.129.192.189 ip4:72.14.189.178 ip4:173.230.145.51 ip4:208.86.168.7 ip4:44.228.17.135 ip4:35.166.118.247 ip4:54.244.183.127 a mx ~all,v=DMARC1; p=quarantine; rua=mailto:itservices@acumed.net,acumed.net,,52.101.8.36 does not have any reverse DNS (PTR) records,,,,,pdns07.domaincontrol.com|pdns08.domaincontrol.com,,
aero-hose.com,aero-hose.com,True,True,True,r,r,0,none,100,a:f:r:f,86400,mailto:acronis2@aero-hose.com,mailto:dmarc@mailinblue.com,none,"0, aerohose-com01b.mail.protection.outlook.com",,,v=spf1 a:dispatch-us.ppe-hosted.com include:spf.protection.outlook.com include:spf.sendinblue.com mx ~all,v=DMARC1; p=none; sp=none; rua=mailto:acronis2@aero-hose.com; ruf=mailto:dmarc@mailinblue.com!10m; rf=afrf; pct=100; ri=86400,aero-hose.com,,,,,,,ns25.worldnic.com|ns26.worldnic.com,,
alleghany.com,alleghany.com,False,True,False,,,,,,,,,,,"10, mx1-us1.ppe-hosted.com|15, mx2-us1.ppe-hosted.com|25, mail2.alleghany.com|35, mail1.alleghany.com",,,v=spf1 mx ip4:192.254.121.248 include:_spf.psm.knowbe4.com include:_phishspf.knowbe4.com a:dispatch-us.ppe-hosted.com ~all,,,,"The reverse DNS of 38.108.192.107 is Mail1.alleghany.com, but the A/AAAA DNS records for Mail1.alleghany.com do not resolve to 38.108.192.107|The reverse DNS of 38.108.192.107 is roundwoodasset.com, but the A/AAAA DNS records for roundwoodasset.com do not resolve to 38.108.192.107|The reverse DNS of 38.108.192.107 is Alleghanycc.com, but the A/AAAA DNS records for Alleghanycc.com do not resolve to 38.108.192.107|The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 198.46.104.44 is spam.alleghany.com, but the A/AAAA DNS records for spam.alleghany.com do not resolve to 198.46.104.44",,,"Unrelated TXT records were discovered. These should be removed, as some receivers may not expect to find unrelated TXT records at _dmarc.alleghany.com

v=spf1 mx ip4:192.254.121.248 include:_spf.psm.knowbe4.com include:_phishspf.knowbe4.com ~all",,ns76.worldnic.com|ns75.worldnic.com,,
altalink.ca,altalink.ca,True,True,True,r,r,0,reject,100,a:f:r:f,86400,mailto:3zgwhxv9@ag.dmarcian.com,,reject,"0, esa1.hc305-52.ca.iphmx.com|0, esa2.hc305-52.ca.iphmx.com",,,v=spf1 mx a:smtp3.altalink.ca a:smtp4.altalink.ca a:mx1.hc305-52.ca.iphmx.com a:mx2.hc305-52.ca.iphmx.com ip4:208.81.8.96 ip4:208.81.8.97 ip4:136.147.131.17 ip4:216.71.130.198 ip4:216.71.134.208 include:spf.protection.outlook.com -all,v=DMARC1; p=reject; pct=100; rua=mailto:3zgwhxv9@ag.dmarcian.com;,altalink.ca,,,,,,,dns1.easydns.com|dns2.easydns.net|dns3.easydns.ca,,
amarillogear.com,amarillogear.com,False,True,False,,,,,,,,,,,"5, amarillogear-com.mail.protection.outlook.com",,,v=spf1 include:spf.protection.outlook.com -all,,,,"52.101.8.46 does not have any reverse DNS (PTR) records|The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 52.101.9.12 is mail-bl0pr05cu00504.inbound.protection.outlook.com, but the A/AAAA DNS records for mail-bl0pr05cu00504.inbound.protection.outlook.com do not resolve to 52.101.9.12",,,A DMARC record does not exist for this domain or its base domain,,ns42.domaincontrol.com|ns41.domaincontrol.com,,
amarillogearjiangsu.com,amarillogearjiangsu.com,False,True,False,,,,,,,,,,,"1, amarillogearjiangsu-com.mail.protection.partner.outlook.cn",,,v=spf1 include:spf.protection.partner.outlook.cn -all,,,,,,,A DMARC record does not exist for this domain or its base domain,,dns30.hichina.com|dns29.hichina.com,,
amarillogearservice.com,amarillogearservice.com,False,False,False,,,,,,,,,,,,,,,,,,No MX records found. Is the domain parked?,"('amarillogearservice.com does not have a SPF TXT record ', 'amarillogearservice.com')",,A DMARC record does not exist for this domain or its base domain,,ns11.worldnic.com|ns12.worldnic.com,,
amarillowind.com,amarillowind.com,False,False,False,,,,,,,,,,,,,,,,,,No MX records found. Is the domain parked?,"(SPFRecordNotFound('amarillowind.com does not have a SPF TXT record', 'amarillowind.com'), 'amarillowind.com')",,A DMARC record does not exist for this domain or its base domain,,ns39.domaincontrol.com|ns40.domaincontrol.com,,
americanathletic.com,americanathletic.com,False,True,True,r,r,1,reject,100,a:f:r:f,3600,mailto:fruit@rua.agari.com,mailto:fruit@ruf.agari.com,reject,"10, americanathletic-com.mail.protection.outlook.com",,,v=spf1 mx include:icpbounce.com include:spf.protection.outlook.com include:bmsend.com include:spf.mandrillapp.com -all,v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:fruit@rua.agari.com; ruf=mailto:fruit@ruf.agari.com,americanathletic.com,,,,,,,udns1.cscdns.net|udns2.cscdns.uk,,
