domain,base_domain,dnssec,spf_valid,dmarc_valid,dmarc_adkim,dmarc_aspf,dmarc_fo,dmarc_p,dmarc_pct,dmarc_rf,dmarc_ri,dmarc_rua,dmarc_ruf,dmarc_sp,mx,tls,starttls,spf_record,dmarc_record,dmarc_record_location,mx_error,mx_warnings,spf_error,spf_warnings,dmarc_error,dmarc_warnings,ns,ns_error,ns_warnings
cardinalhealth.br,cardinalhealth.br,False,False,False,,,,,,,,,,,,,,,,,The domain cardinalhealth.br does not exist,,"('The domain cardinalhealth.br does not exist', 'cardinalhealth.br')",,A DMARC record does not exist for this domain or its base domain,,,The domain cardinalhealth.br does not exist,
cardinalhealth.ca,cardinalhealth.ca,False,True,False,,,,,,,,,,,"10, mx1.hc2781-64.iphmx.com|10, mx2.hc2781-64.iphmx.com",,,v=spf1 include:_spf.cardinalhealth.com include:spf.protection.outlook.com include:aspmx.pardot.com include:amazonses.com  ~all,,,,,,,A DMARC record does not exist for this domain or its base domain,,ns-cloud-e4.googledomains.com|ns-cloud-e1.googledomains.com|ns-cloud-e3.googledomains.com|ns-cloud-e2.googledomains.com,,
cardinalhealth.cn,cardinalhealth.cn,False,False,False,,,,,,,,,,,,,,,,,,No MX records found. Is the domain parked?,"(SPFRecordNotFound('cardinalhealth.cn does not have a SPF TXT record', 'cardinalhealth.cn'), 'cardinalhealth.cn')",,A DMARC record does not exist for this domain or its base domain,,ns-cloud-e4.googledomains.com|ns-cloud-e1.googledomains.com|ns-cloud-e3.googledomains.com|ns-cloud-e2.googledomains.com,,
cardinalhealth.co.uk,cardinalhealth.co.uk,False,True,False,,,,,,,,,,,,,,v=spf1 -all,,,,No MX records found. Is the domain parked?,,,A DMARC record does not exist for this domain or its base domain,,ns-cloud-e3.googledomains.com|ns-cloud-e2.googledomains.com|ns-cloud-e4.googledomains.com|ns-cloud-e1.googledomains.com,,
cardinalhealth.com,cardinalhealth.com,False,True,True,r,r,0,none,100,a:f:r:f,86400,mailto:dmarcreports@cardinalhealth.com,mailto:dmarcreports@cardinalhealth.com,none,"10, mx1.hc2781-64.iphmx.com|10, mx2.hc2781-64.iphmx.com",,,v=spf1 exists:%{i}.spf.hc2781-64.iphmx.com include:_spf.salesforce.com include:spf-a.opntxtdns.com include:7698986.spf08.hubspotemail.net include:sendgrid.net include:amazonses.com ip4:12.19.100.11 ip4:208.185.229.41 ip4:208.185.229.42 ip4:208.185.229.43 ip4:208.185.229.44 ip4:208.185.229.45 ip4:72.3.202.3 ip4:198.89.160.32 ip4:198.89.160.35 ~all,v=DMARC1; p=none; rua=mailto:dmarcreports@cardinalhealth.com; ruf=mailto:dmarcreports@cardinalhealth.com,cardinalhealth.com,,,,,,,ns-cloud-e4.googledomains.com|ns-cloud-e2.googledomains.com|ns-cloud-e3.googledomains.com|ns-cloud-e1.googledomains.com,,
cardinalhealth.com.au,cardinalhealth.com.au,False,False,False,,,,,,,,,,,,,,,,,,No MX records found. Is the domain parked?,"(SPFRecordNotFound('cardinalhealth.com.au does not have a SPF TXT record', 'cardinalhealth.com.au'), 'cardinalhealth.com.au')",,A DMARC record does not exist for this domain or its base domain,,ns-cloud-e2.googledomains.com|ns-cloud-e3.googledomains.com|ns-cloud-e1.googledomains.com|ns-cloud-e4.googledomains.com,,
cardinalhealth.de,cardinalhealth.de,False,True,False,,,,,,,,,,,,,,v=spf1 -all,,,,No MX records found. Is the domain parked?,,,A DMARC record does not exist for this domain or its base domain,,ns-cloud-e4.googledomains.com|ns-cloud-e2.googledomains.com|ns-cloud-e1.googledomains.com|ns-cloud-e3.googledomains.com,,
cardinalhealth.es,cardinalhealth.es,False,False,False,,,,,,,,,,,,,,,,,,No MX records found. Is the domain parked?,"(SPFRecordNotFound('cardinalhealth.es does not have a SPF TXT record', 'cardinalhealth.es'), 'cardinalhealth.es')",,A DMARC record does not exist for this domain or its base domain,,ns-cloud-e4.googledomains.com|ns-cloud-e1.googledomains.com|ns-cloud-e2.googledomains.com|ns-cloud-e3.googledomains.com,,
cardinalhealth.jp,cardinalhealth.jp,False,False,False,,,,,,,,,,,,,,,,,,No MX records found. Is the domain parked?,"(SPFRecordNotFound('cardinalhealth.jp does not have a SPF TXT record', 'cardinalhealth.jp'), 'cardinalhealth.jp')",,A DMARC record does not exist for this domain or its base domain,,ns-cloud-e3.googledomains.com|ns-cloud-e4.googledomains.com|ns-cloud-e1.googledomains.com|ns-cloud-e2.googledomains.com,,
cardinalhealth.kr,cardinalhealth.kr,False,False,False,,,,,,,,,,,,,,,,,,No MX records found. Is the domain parked?,"('cardinalhealth.kr does not have a SPF TXT record ', 'cardinalhealth.kr')",,A DMARC record does not exist for this domain or its base domain,,ns-cloud-e4.googledomains.com|ns-cloud-e2.googledomains.com|ns-cloud-e3.googledomains.com|ns-cloud-e1.googledomains.com,,
cardinalhealth.pr,cardinalhealth.pr,False,False,False,,,,,,,,,,,,,,,,,,No MX records found. Is the domain parked?,"('cardinalhealth.pr does not have a SPF TXT record ', 'cardinalhealth.pr')",,A DMARC record does not exist for this domain or its base domain,,ns-cloud-e2.googledomains.com|ns-cloud-e4.googledomains.com|ns-cloud-e3.googledomains.com|ns-cloud-e1.googledomains.com,,
cardinalhealthphilippines.jobs,cardinalhealthphilippines.jobs,False,False,False,,,,,,,,,,,,,,,,,,No MX records found. Is the domain parked?,"(SPFRecordNotFound('cardinalhealthphilippines.jobs does not have a SPF TXT record', 'cardinalhealthphilippines.jobs'), 'cardinalhealthphilippines.jobs')",,A DMARC record does not exist for this domain or its base domain,,dns2.stabletransit.com|dns1.stabletransit.com,,
edgepark.com,edgepark.com,False,True,True,r,r,0,none,100,a:f:r:f,86400,mailto:dmarcreports@cardinalhealth.com,mailto:dmarcreports@cardinalhealth.com,none,"10, mx1.hc2781-64.iphmx.com|10, mx2.hc2781-64.iphmx.com",,,v=spf1 include:_spf.cardinalhealth.com include:bounce.simpleepay.com include:_spf.access.creehan.com ~all,v=DMARC1; p=none; rua=mailto:dmarcreports@cardinalhealth.com;  ruf=mailto:dmarcreports@cardinalhealth.com,edgepark.com,,,,,,,ns-cloud-e1.googledomains.com|ns-cloud-e2.googledomains.com|ns-cloud-e3.googledomains.com|ns-cloud-e4.googledomains.com,,
indemed.com,indemed.com,False,True,True,r,r,0,none,100,a:f:r:f,86400,mailto:dmarcreports@cardinalhealth.com,mailto:dmarcreports@cardinalhealth.com,none,"10, mx1.hc2781-64.iphmx.com|10, mx2.hc2781-64.iphmx.com",,,v=spf1 include:_spf.cardinalhealth.com ~all,v=DMARC1; p=none; rua=mailto:dmarcreports@cardinalhealth.com;  ruf=mailto:dmarcreports@cardinalhealth.com,indemed.com,,,,,,,ns-cloud-e3.googledomains.com|ns-cloud-e2.googledomains.com|ns-cloud-e1.googledomains.com|ns-cloud-e4.googledomains.com,,
kinray.com,kinray.com,False,True,True,r,r,0,none,100,a:f:r:f,86400,mailto:dmarcreports@cardinalhealth.com,mailto:dmarcreports@cardinalhealth.com,none,"10, mx1.hc2781-64.iphmx.com|10, mx2.hc2781-64.iphmx.com",,,v=spf1 include:_spf.cardinalhealth.com ~all,v=DMARC1; p=none; rua=mailto:dmarcreports@cardinalhealth.com; ruf=mailto:dmarcreports@cardinalhealth.com,kinray.com,,,,,,,ns-cloud-e3.googledomains.com|ns-cloud-e4.googledomains.com|ns-cloud-e1.googledomains.com|ns-cloud-e2.googledomains.com,,
major-pharm.com,major-pharm.com,False,True,True,r,r,0,none,100,a:f:r:f,86400,mailto:dmarcreports@cardinalhealth.com,mailto:dmarcreports@cardinalhealth.com,none,"10, mx1.hc2781-64.iphmx.com|10, mx2.hc2781-64.iphmx.com",,,v=spf1 include:_spf.cardinalhealth.com ~all,v=DMARC1; p=none; rua=mailto:dmarcreports@cardinalhealth.com; ruf=mailto:dmarcreports@cardinalhealth.com,major-pharm.com,,,,,,,ns-1076.awsdns-06.org|ns-1636.awsdns-12.co.uk|ns-354.awsdns-44.com|ns-761.awsdns-31.net,,
majorpharmaceuticals.com,majorpharmaceuticals.com,False,False,False,,,,,,,,,,,"10, dory.thdg.com|10, nemo.thdg.com",,,v=spf1 mx a ip4:74.218.207.0/24 a:mal.thdg.com a:mail.harvarddruggroup.com a:harvexvm2.harvarddruggroup.com a:dory.thdg.com a:dory.harvarddrugroup.com a:nemo.thdg.com a:nemo.harvarddruggroup.com a:relay.thdg.com a:relay.harvarddrug,,,,"The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 74.218.207.227 is rrcs-74-218-207-227.central.biz.rr.com, but the A/AAAA DNS records for rrcs-74-218-207-227.central.biz.rr.com do not resolve to 74.218.207.227",Parsing the SPF record requires 11/10 maximum DNS lookups - https://tools.ietf.org/html/rfc7208#section-4.6.4,,A DMARC record does not exist for this domain or its base domain,,ns-1058.awsdns-04.org|ns-1594.awsdns-07.co.uk|ns-457.awsdns-57.com|ns-634.awsdns-15.net,,
medicineshoppe.com,medicineshoppe.com,False,False,False,,,,,,,,,,,"10, aspmx.1.google.com|20, alt1.aspmx.1.google.com|30, alt2.aspmx.1.google.com|40, aspmx2.googlemail.com|50, aspmx3.googlemail.com|60, aspmx4.googlemail.com|70, aspmx5.googlemail.com",,,,,,,The domain aspmx.1.google.com does not exist|The domain alt1.aspmx.1.google.com does not exist|The domain alt2.aspmx.1.google.com does not exist|2800:3f0:4003:c00::1b does not have any reverse DNS (PTR) records,"(SPFRecordNotFound('medicineshoppe.com does not have a SPF TXT record', 'medicineshoppe.com'), 'medicineshoppe.com')",,A DMARC record does not exist for this domain or its base domain,,pdns11.domaincontrol.com|pdns12.domaincontrol.com,,
myleader.com,myleader.com,False,True,False,,,,,,,,,,,,,,v=spf1 -all,,,,No MX records found. Is the domain parked?,,,A DMARC record does not exist for this domain or its base domain,,ns-cloud-e3.googledomains.com|ns-cloud-e4.googledomains.com|ns-cloud-e1.googledomains.com|ns-cloud-e2.googledomains.com,,
optifreight.com,optifreight.com,False,True,False,,,,,,,,,,,"0, optifreight-com.mail.protection.outlook.com",,,v=spf1 include:secureserver.net -all,,,,,,,A DMARC record does not exist for this domain or its base domain,,ns29.domaincontrol.com|ns30.domaincontrol.com,,
parmed.com,parmed.com,False,True,False,,,,,,,,,,,"10, mail.itx.net",,,v=spf1 -all,,,,The domain mail.itx.net does not exist,,,A DMARC record does not exist for this domain or its base domain,,ns-cloud-e2.googledomains.com|ns-cloud-e4.googledomains.com|ns-cloud-e3.googledomains.com|ns-cloud-e1.googledomains.com,,
redoaksourcing.com,redoaksourcing.com,False,True,True,r,r,0,quarantine,100,a:f:r:f,86400,,,none,"0, primary.us.email.fireeyecloud.com|5, alt2.us.email.fireeyecloud.com|10, alt1.us.email.fireeyecloud.com|10, alt3.us.email.fireeyecloud.com|10, redoaksourcing-com.mail.protection.outlook.com",,,v=spf1 include:spf.protection.outlook.com -all,v=DMARC1; p=quarantine; fo=0; adkim=r; aspf=r; sp=none,redoaksourcing.com,,"The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 3.93.93.51 is mx.us.email.fireeyecloud.com, but the A/AAAA DNS records for mx.us.email.fireeyecloud.com do not resolve to 3.93.93.51|The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 3.93.93.52 is mx.us.email.fireeyecloud.com, but the A/AAAA DNS records for mx.us.email.fireeyecloud.com do not resolve to 3.93.93.52|The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 3.93.93.53 is mx.us.email.fireeyecloud.com, but the A/AAAA DNS records for mx.us.email.fireeyecloud.com do not resolve to 3.93.93.53|The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 34.223.36.121 is mx.us.email.fireeyecloud.com, but the A/AAAA DNS records for mx.us.email.fireeyecloud.com do not resolve to 34.223.36.121",,,,rua tag (destination for aggregate reports) not found,dns101.register.com|dns102.register.com,,
