domain,base_domain,dnssec,spf_valid,dmarc_valid,dmarc_adkim,dmarc_aspf,dmarc_fo,dmarc_p,dmarc_pct,dmarc_rf,dmarc_ri,dmarc_rua,dmarc_ruf,dmarc_sp,mx,tls,starttls,spf_record,dmarc_record,dmarc_record_location,mx_error,mx_warnings,spf_error,spf_warnings,dmarc_error,dmarc_warnings,ns,ns_error,ns_warnings
cigna.co.id,cigna.co.id,False,True,True,r,r,1,reject,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,reject,"10, mxa-000e5c01.gslb.pphosted.com|10, mxb-000e5c01.gslb.pphosted.com",,,v=spf1 exists:%{i}.spf.evernorth.com -all,v=DMARC1; p=reject; sp=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,cigna.co.id,,"The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 67.231.157.188 is mx0b-000e5c01.pphosted.com, but the A/AAAA DNS records for mx0b-000e5c01.pphosted.com do not resolve to 67.231.157.188|The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 67.231.157.188 is mx0b-000e5c01.pphosted.com, but the A/AAAA DNS records for mx0b-000e5c01.pphosted.com do not resolve to 67.231.157.188",,,,,ns.cigna.com|ns2.cigna.com,,
cigna.co.nz,cigna.co.nz,False,True,True,r,r,1,reject,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,reject,,,,v=spf1 include:mktomail.com -all,v=DMARC1; p=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,cigna.co.nz,,No MX records found. Is the domain parked?,,,,,ns2.cigna.com|ns.cigna.com,,
cigna.co.th,cigna.co.th,False,False,False,,,,,,,,,,,,,,,,,All nameservers failed to answer the query cigna.co.th. IN MX: Server Do53:1.1.1.1@53 answered SERVFAIL; Server Do53:1.0.0.1@53 answered SERVFAIL,,"(NoNameservers('All nameservers failed to answer the query cigna.co.th. IN TXT: Server Do53:1.1.1.1@53 answered SERVFAIL; Server Do53:1.0.0.1@53 answered SERVFAIL'), 'cigna.co.th')",,All nameservers failed to answer the query _dmarc.cigna.co.th. IN TXT: Server Do53:1.1.1.1@53 answered SERVFAIL; Server Do53:1.0.0.1@53 answered SERVFAIL,,,All nameservers failed to answer the query cigna.co.th. IN NS: Server Do53:1.1.1.1@53 answered SERVFAIL; Server Do53:1.0.0.1@53 answered SERVFAIL,
cigna.com,cigna.com,False,True,True,r,r,1,quarantine,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,reject,"10, mxa-000e5c01.gslb.pphosted.com|10, mxb-000e5c01.gslb.pphosted.com",,,v=spf1 include:_spf.cigna.com include:_spf.salesforce.com include:cignamail.verintefm.com exists:%{i}.spf.evernorth.com -all,v=DMARC1; p=quarantine; sp=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,cigna.com,,,,,,,ns2.cigna.com|ns.cigna.com,,
cigna.com.hk,cigna.com.hk,False,True,True,r,r,1,none,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,reject,"10, mail.cigna.com.hk",,,v=spf1 mx -all,v=DMARC1; p=none; sp=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,cigna.com.hk,,122.152.138.168 does not have any reverse DNS (PTR) records,,,,,ns2.cigna.com|ns.cigna.com,,
cigna.com.sg,cigna.com.sg,False,True,True,r,r,1,reject,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,reject,,,,v=spf1 -all,v=DMARC1; p=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,cigna.com.sg,,No MX records found. Is the domain parked?,,,,,ns.cigna.com|ns2.cigna.com,,
cigna.com.tw,cigna.com.tw,False,True,True,r,r,1,reject,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,reject,"1, mail.cigna.com.tw",,,v=spf1 ip4:220.130.127.168 include:spf.neweredm.com include:amazonses.com -all,v=DMARC1; p=reject; sp=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,cigna.com.tw,,,,,,,ns2.cigna.com|ns.cigna.com,,
cignacmb.com,cignacmb.com,False,True,False,,,,,,,,,,,"10, cignacmb-com.mail.protection.partner.outlook.cn",,,v=spf1 ip4:116.214.128.17 include:spf.protection.partner.outlook.cn -all,,,,,,,A DMARC record does not exist for this domain or its base domain,,dns18.hichina.com|dns17.hichina.com,,
cignaenvoy.com,cignaenvoy.com,False,True,True,r,r,1,reject,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,reject,,,,v=spf1 include:spf1.okta.com include:spf-000e5c01.pphosted.com -all,v=DMARC1; p=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,cignaenvoy.com,,No MX records found. Is the domain parked?,,,,,ns2.cigna.com|ns.cigna.com,,
cignafinans.com.tr,cignafinans.com.tr,False,True,True,r,r,0,reject,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,,reject,"10, mail01.finansbank.com.tr|10, mail02.finansbank.com.tr|10, mail05.finansbank.com.tr|10, mail06.finansbank.com.tr|10, mail07.finansbank.com.tr|10, mail08.finansbank.com.tr|20, mail03.finansbank.com.tr|20, mail04.finansbank.com.tr",,,v=spf1 ip4:62.108.64.0/24 ip4:62.108.72.0/24 -all,v=DMARC1; p=reject; rua=mailto:dmarc_rua@emaildefense.proofpoint.com,cignafinans.com.tr,,,,,,,ns4.finansbank.com|ns.finansbank.com|ns2.finansbank.com|ns3.finansbank.com,,
