domain,base_domain,dnssec,spf_valid,dmarc_valid,dmarc_adkim,dmarc_aspf,dmarc_fo,dmarc_p,dmarc_pct,dmarc_rf,dmarc_ri,dmarc_rua,dmarc_ruf,dmarc_sp,mx,tls,starttls,spf_record,dmarc_record,dmarc_record_location,mx_error,mx_warnings,spf_error,spf_warnings,dmarc_error,dmarc_warnings,ns,ns_error,ns_warnings
americanhealthpackaging.com,americanhealthpackaging.com,False,True,True,r,r,1,none,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,none,"10, mxa-00320f01.gslb.pphosted.com|10, mxb-00320f01.gslb.pphosted.com",,,v=spf1 mx a ip4:129.33.204.13 include:spf.protection.outlook.com include:spf-00320f01.pphosted.com ~all,v=DMARC1; p=none; fo=1;rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,americanhealthpackaging.com,,"The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 148.163.135.48 is mx0a-00320f01.pphosted.com, but the A/AAAA DNS records for mx0a-00320f01.pphosted.com do not resolve to 148.163.135.48|The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 148.163.135.48 is mx0a-00320f01.pphosted.com, but the A/AAAA DNS records for mx0a-00320f01.pphosted.com do not resolve to 148.163.135.48",,,,,dns4.p08.nsone.net|dns2.p08.nsone.net|dns1.p08.nsone.net|dns3.p08.nsone.net|ns2.amerisourcebergen.com,,
amerisourcebergen.com,amerisourcebergen.com,False,True,True,r,r,1,reject,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,reject,"10, mxa-00320f01.gslb.pphosted.com|10, mxb-00320f01.gslb.pphosted.com",,,v=spf1 include:%{ir}.%{v}.%{d}.spf.has.pphosted.com ~all,v=DMARC1; p=reject; fo=1;rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,amerisourcebergen.com,,,,,,,dns4.p08.nsone.net|dns2.p08.nsone.net|dns1.p08.nsone.net|ns2.amerisourcebergen.com|dns3.p08.nsone.net,,
asdhealthcare.com,asdhealthcare.com,False,True,True,r,r,1,none,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,none,"10, mxa-00320f01.gslb.pphosted.com|10, mxb-00320f01.gslb.pphosted.com",,,v=spf1 include:%{ir}.%{v}.%{d}.spf.has.pphosted.com ~all,v=DMARC1; p=none; fo=1;rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,asdhealthcare.com,,"The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 148.163.135.48 is mx0a-00320f01.pphosted.com, but the A/AAAA DNS records for mx0a-00320f01.pphosted.com do not resolve to 148.163.135.48|The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 148.163.135.48 is mx0a-00320f01.pphosted.com, but the A/AAAA DNS records for mx0a-00320f01.pphosted.com do not resolve to 148.163.135.48",,,,,dns2.p08.nsone.net|dns1.p08.nsone.net|dns4.p08.nsone.net|ns2.amerisourcebergen.com|dns3.p08.nsone.net,,
besse.com,besse.com,False,True,True,r,r,1,none,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,none,"10, mxa-00320f01.gslb.pphosted.com|10, mxb-00320f01.gslb.pphosted.com",,,v=spf1 include:%{ir}.%{v}.%{d}.spf.has.pphosted.com ~all,v=DMARC1; p=none; fo=1;rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,besse.com,,,,,,,ns2.amerisourcebergen.com|dns4.p08.nsone.net|dns3.p08.nsone.net|dns2.p08.nsone.net|dns1.p08.nsone.net,,
bplgroup.com,bplgroup.com,False,True,True,r,r,0,none,100,a:f:r:f,86400,,,none,"0, bplgroup-com.mail.protection.outlook.com",,,v=spf1 ip4:2.115.131.192/27 ip4:149.72.147.186 ip4:167.89.101.239 include:spf.protection.outlook.com include:spf.odmad.quest-on-demand.com -all,v=DMARC1; p=none;,bplgroup.com,,,,,,rua tag (destination for aggregate reports) not found,ns05.domaincontrol.com|ns06.domaincontrol.com,,
cencora.com,cencora.com,False,True,True,r,r,1,reject,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,reject,"10, mxa-00320f01.gslb.pphosted.com|10, mxb-00320f01.gslb.pphosted.com",,,v=spf1 include:%{ir}.%{v}.%{d}.spf.has.pphosted.com ~all,v=DMARC1; p=reject; fo=1;rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,cencora.com,,,,,,,ns2.cencora.com|dns4.p01.nsone.net|dns3.p01.nsone.net|dns1.p01.nsone.net|dns2.p01.nsone.net,,
innomar-strategies.com,innomar-strategies.com,False,True,True,r,r,1,none,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,none,"10, mxa-00320f01.gslb.pphosted.com|10, mxb-00320f01.gslb.pphosted.com",,,v=spf1 include:%{ir}.%{v}.%{d}.spf.has.pphosted.com ~all,v=DMARC1; p=none; fo=1;rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,innomar-strategies.com,,,,,,,dns1.p08.nsone.net|dns3.p08.nsone.net|dns2.p08.nsone.net|ns2.amerisourcebergen.com|dns4.p08.nsone.net,,
lashgroup.com,lashgroup.com,False,True,True,r,r,1,none,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,none,"10, mxa-00320f01.gslb.pphosted.com|10, mxb-00320f01.gslb.pphosted.com",,,v=spf1 include:%{ir}.%{v}.%{d}.spf.has.pphosted.com ~all,v=DMARC1; p=none; fo=1;rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,lashgroup.com,,,,,,,dns4.p08.nsone.net|dns3.p08.nsone.net|dns2.p08.nsone.net|ns2.amerisourcebergen.com|dns1.p08.nsone.net,,
mwiah.co.uk,mwiah.co.uk,False,True,True,r,r,1,none,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,none,"10, mxa-00320f01.gslb.pphosted.com|10, mxb-00320f01.gslb.pphosted.com",,,v=spf1 include:%{ir}.%{v}.%{d}.spf.has.pphosted.com -all,v=DMARC1; p=none; fo=1;rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,mwiah.co.uk,,,,,,,ns-1256.awsdns-29.org|ns-145.awsdns-18.com|ns-1644.awsdns-13.co.uk|ns-798.awsdns-35.net,,
mwiah.com,mwiah.com,False,True,True,r,r,1,none,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,none,"10, mxa-00320f01.gslb.pphosted.com|10, mxb-00320f01.gslb.pphosted.com",,,v=spf1 include:%{ir}.%{v}.%{d}.spf.has.pphosted.com ~all,v=DMARC1; p=none; fo=1;rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,mwiah.com,,,,,,,ns-1026.awsdns-00.org|ns-1722.awsdns-23.co.uk|ns-370.awsdns-46.com|ns-968.awsdns-57.net,,
