domain,base_domain,dnssec,spf_valid,dmarc_valid,dmarc_adkim,dmarc_aspf,dmarc_fo,dmarc_p,dmarc_pct,dmarc_rf,dmarc_ri,dmarc_rua,dmarc_ruf,dmarc_sp,mx,tls,starttls,spf_record,dmarc_record,dmarc_record_location,mx_error,mx_warnings,spf_error,spf_warnings,dmarc_error,dmarc_warnings,ns,ns_error,ns_warnings
constco.is,constco.is,False,False,False,,,,,,,,,,,,,,,,,The domain constco.is does not exist,,"('The domain constco.is does not exist', 'constco.is')",,A DMARC record does not exist for this domain or its base domain,,,The domain constco.is does not exist,
costco.ca,costco.ca,False,True,True,r,r,1,none,100,a:f:r:f,86400,mailto:dmarc_agg@auth.returnpath.net,mailto:dmarc_afrf@auth.returnpath.net,none,"5, mx0a-001f9d01.pphosted.com|5, mx0b-001f9d01.pphosted.com",,,v=spf1 include:%{ir}.%{v}.%{d}.spf.has.pphosted.com ~all,v=DMARC1; p=none; sp=none; fo=1; rua=mailto:dmarc_agg@auth.returnpath.net; ruf=mailto:dmarc_afrf@auth.returnpath.net,costco.ca,,,,,,,a1-116.akam.net|a9-66.akam.net|a5-64.akam.net|a6-64.akam.net|a14-67.akam.net|a28-66.akam.net,,
costco.co.nz,costco.co.nz,False,True,True,r,r,1,reject,100,a:f:r:f,86400,mailto:dmarc_agg@auth.returnpath.net,mailto:dmarc_afrf@auth.returnpath.net,none,"10, mx0a-001f9d01.pphosted.com|10, mx0b-001f9d01.pphosted.com",,,v=spf1 include:_spf.google.com include:_spf1.costco.co.nz -all,v=DMARC1; p=reject; sp=none; fo=1; rua=mailto:dmarc_agg@auth.returnpath.net; ruf=mailto:dmarc_afrf@auth.returnpath.net,costco.co.nz,,,,,,,a6-64.akam.net|a9-66.akam.net|dbru.br.ns.els-gms.att.net|dmtu.mt.ns.els-gms.att.net|a5-64.akam.net|a14-67.akam.net|a1-116.akam.net|a28-66.akam.net,,
costco.co.uk,costco.co.uk,False,True,True,r,r,1,reject,100,a:f:r:f,86400,mailto:dmarc_agg@auth.returnpath.net,mailto:dmarc_afrf@auth.returnpath.net,reject,"1, mx0a-001f9d01.pphosted.com|1, mx0b-001f9d01.pphosted.com",,,v=spf1 include:%{ir}.%{v}.%{d}.spf.has.pphosted.com -all,v=DMARC1; p=reject; sp=reject; fo=1; rua=mailto:dmarc_agg@auth.returnpath.net; ruf=mailto:dmarc_afrf@auth.returnpath.net,costco.co.uk,,,,,,,dns1.cscdns.net|dns2.cscdns.net,,
costco.com,costco.com,False,True,True,r,r,1,none,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,none,"10, mx0a-001f9d01.pphosted.com|10, mx0b-001f9d01.pphosted.com",,,v=spf1 include:%{ir}.%{v}.%{d}.spf.has.pphosted.com ~all,v=DMARC1; p=none; sp=none; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,costco.com,,,,,,,a6-64.akam.net|a1-116.akam.net|a14-67.akam.net|a5-64.akam.net|a9-66.akam.net|a28-66.akam.net,,
costco.com.aw,costco.com.aw,False,False,False,,,,,,,,,,,,,,,,,The domain costco.com.aw does not exist,,"('The domain costco.com.aw does not exist', 'costco.com.aw')",,A DMARC record does not exist for this domain or its base domain,,,The domain costco.com.aw does not exist,
costco.com.mx,costco.com.mx,False,True,True,r,r,1,reject,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,reject,"1, mx0a-001f9d01.pphosted.com|1, mx0b-001f9d01.pphosted.com",,,v=spf1 a ip4:141.146.165.0/27 mx include:_spf.google.com include:spf-001f9d01.pphosted.com include:sendgrid.net ~all,v=DMARC1;p=reject;sp=reject;fo=1;rua=mailto:dmarc_rua@emaildefense.proofpoint.com;ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,costco.com.mx,,"The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 148.163.156.53 is mx0a-001f9d01.pphosted.com, but the A/AAAA DNS records for mx0a-001f9d01.pphosted.com do not resolve to 148.163.156.53",,,,,nsq2.costco.com.mx|nsq1.costco.com.mx,,
costco.com.tw,costco.com.tw,False,True,True,r,r,1,reject,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,reject,"10, mx0a-001f9d01.pphosted.com|10, mx0b-001f9d01.pphosted.com",,,v=spf1 include:spf-001f9d01.pphosted.com include:_spf.costco.com.tw include:_spf.google.com -all,v=DMARC1; p=reject; sp=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com;ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,costco.com.tw,,,,,,,dns2.costco.com.tw|dns1.costco.com.tw|dns3.costco.com.tw,,
costco.es,costco.es,False,True,True,r,r,1,reject,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,reject,"10, mx0a-001f9d01.pphosted.com|10, mx0b-001f9d01.pphosted.com",,,v=spf1 include:%{ir}.%{v}.%{d}.spf.has.pphosted.com ~all,v=DMARC1;p=reject;sp=reject;fo=1;rua=mailto:dmarc_rua@emaildefense.proofpoint.com;ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,costco.es,,,,,,,dbru.br.ns.els-gms.att.net|a1-116.akam.net|a5-64.akam.net|dmtu.mt.ns.els-gms.att.net|a9-66.akam.net|a6-64.akam.net|a14-67.akam.net|a28-66.akam.net,,
costco.fr,costco.fr,False,True,True,r,r,1,reject,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,reject,"10, mx0a-001f9d01.pphosted.com|10, mx0b-001f9d01.pphosted.com",,,v=spf1 include:%{ir}.%{v}.%{d}.spf.has.pphosted.com ~all,v=DMARC1;p=reject;sp=reject;fo=1;rua=mailto:dmarc_rua@emaildefense.proofpoint.com;ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,costco.fr,,,,,,,a1-116.akam.net|a9-66.akam.net|a14-67.akam.net|dbru.br.ns.els-gms.att.net|a28-66.akam.net|a5-64.akam.net|dmtu.mt.ns.els-gms.att.net|a6-64.akam.net,,
