domain,base_domain,dnssec,spf_valid,dmarc_valid,dmarc_adkim,dmarc_aspf,dmarc_fo,dmarc_p,dmarc_pct,dmarc_rf,dmarc_ri,dmarc_rua,dmarc_ruf,dmarc_sp,mx,tls,starttls,spf_record,dmarc_record,dmarc_record_location,mx_error,mx_warnings,spf_error,spf_warnings,dmarc_error,dmarc_warnings,ns,ns_error,ns_warnings
advantagemedicalgroup.com,advantagemedicalgroup.com,False,True,False,,,,,,,,,,,"1, aspmx.l.google.com|5, alt1.aspmx.l.google.com|5, alt2.aspmx.l.google.com|10, alt3.aspmx.l.google.com|10, alt4.aspmx.l.google.com",,,v=spf1 include:dc-aa8e722993._spfm.advantagemedicalgroup.com ~all,,,,2800:3f0:4003:c00::1b does not have any reverse DNS (PTR) records,,,A DMARC record does not exist for this domain or its base domain,,ns71.domaincontrol.com|ns72.domaincontrol.com,,
amerigroup.com,amerigroup.com,False,True,True,r,r,1,reject,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,reject,"10, mxa-001bee01.gslb.pphosted.com|10, mxb-001bee01.gslb.pphosted.com",,,v=spf1 include:%{ir}.%{v}.%{d}.spf.has.pphosted.com -all,v=DMARC1; p=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,amerigroup.com,,,,,,,ns2.domain53hosting.com|ns3.domain53hosting.com|ns1.domain53hosting.com,,
anthem.com,anthem.com,False,True,True,r,r,1,reject,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,reject,"10, mxa-001bee01.gslb.pphosted.com|10, mxb-001bee01.gslb.pphosted.com",,,v=spf1 include:%{ir}.%{v}.%{d}.spf.has.pphosted.com -all,v=DMARC1;p=reject;fo=1;rua=mailto:dmarc_rua@emaildefense.proofpoint.com;ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,anthem.com,,"The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 148.163.156.84 is mx0a-001bee01.pphosted.com, but the A/AAAA DNS records for mx0a-001bee01.pphosted.com do not resolve to 148.163.156.84",,,,,ns1.domain53hosting.com|ns3.domain53hosting.com|ns2.domain53hosting.com,,
carelon.com,carelon.com,False,True,True,r,r,1,reject,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,reject,"10, mxa-001bee01.gslb.pphosted.com|10, mxb-001bee01.gslb.pphosted.com",,,v=spf1 include:%{ir}.%{v}.%{d}.spf.has.pphosted.com -all,v=DMARC1;p=reject;fo=1;rua=mailto:dmarc_rua@emaildefense.proofpoint.com;ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,carelon.com,,,,,,,ns1.domain53hosting.com|ns2.domain53hosting.com|ns3.domain53hosting.com,,
carelonbehavioralhealth.com,carelonbehavioralhealth.com,False,False,True,r,r,1,reject,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,reject,,,,,v=DMARC1; p=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,carelonbehavioralhealth.com,,No MX records found. Is the domain parked?,"(SPFRecordNotFound('carelonbehavioralhealth.com does not have a SPF TXT record', 'carelonbehavioralhealth.com'), 'carelonbehavioralhealth.com')",,,,ns1.domain53hosting.com|ns2.domain53hosting.com|ns3.domain53hosting.com,,
careloninsights.com,careloninsights.com,False,True,True,r,r,1,reject,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,reject,"10, mxa-001bee01.gslb.pphosted.com|10, mxb-001bee01.gslb.pphosted.com",,,v=spf1 include:%{ir}.%{v}.%{d}.spf.has.pphosted.com -all,v=DMARC1; p=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,careloninsights.com,,,,,,,ns3.domain53hosting.com|ns1.domain53hosting.com|ns2.domain53hosting.com,,
decare.com,decare.com,False,True,True,r,r,1,reject,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,reject,"10, mxa-001bee01.gslb.pphosted.com|20, mxb-001bee01.gslb.pphosted.com",,,v=spf1 include:%{ir}.%{v}.%{d}.spf.has.pphosted.com ~all,v=DMARC1;p=reject;fo=1;rua=mailto:dmarc_rua@emaildefense.proofpoint.com;ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,decare.com,,,,,,,ns3.domain53hosting.com|ns1.domain53hosting.com|ns2.domain53hosting.com,,
elevancehealth.com,elevancehealth.com,False,True,True,r,r,1,reject,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,reject,"10, mxa-001bee01.gslb.pphosted.com|10, mxb-001bee01.gslb.pphosted.com",,,v=spf1 include:%{ir}.%{v}.%{d}.spf.has.pphosted.com -all,v=DMARC1; p=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,elevancehealth.com,,,,,,,ns1.domain53hosting.com|ns2.domain53hosting.com|ns3.domain53hosting.com,,
empireblue.com,empireblue.com,False,True,True,r,r,1,reject,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,reject,"10, mxa-001bee01.gslb.pphosted.com|10, mxb-001bee01.gslb.pphosted.com",,,v=spf1 include:%{ir}.%{v}.%{d}.spf.has.pphosted.com -all,v=DMARC1;p=reject;fo=1;rua=mailto:dmarc_rua@emaildefense.proofpoint.com;ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,empireblue.com,,"The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 148.163.156.84 is mx0a-001bee01.pphosted.com, but the A/AAAA DNS records for mx0a-001bee01.pphosted.com do not resolve to 148.163.156.84",,,,,ns2.domain53hosting.com|ns3.domain53hosting.com|ns1.domain53hosting.com,,
mynexuscare.com,mynexuscare.com,False,True,True,r,r,1,none,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,none,"0, mynexuscare-com.mail.protection.outlook.com",,,v=spf1 include:%{ir}.%{v}.%{d}.spf.has.pphosted.com -all,v=DMARC1;p=none;fo=1;rua=mailto:dmarc_rua@emaildefense.proofpoint.com;ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,mynexuscare.com,,,,,,DMARC record at root of mynexuscare.com has no effect,pdns05.domaincontrol.com|pdns06.domaincontrol.com,,
