domain,base_domain,dnssec,spf_valid,dmarc_valid,dmarc_adkim,dmarc_aspf,dmarc_fo,dmarc_p,dmarc_pct,dmarc_rf,dmarc_ri,dmarc_rua,dmarc_ruf,dmarc_sp,mx,tls,starttls,spf_record,dmarc_record,dmarc_record_location,mx_error,mx_warnings,spf_error,spf_warnings,dmarc_error,dmarc_warnings,ns,ns_error,ns_warnings
clarusonesourcing.com,clarusonesourcing.com,False,True,True,r,r,1,reject,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,reject,"10, mx0a-0016dd01.pphosted.com|10, mx0b-0016dd01.pphosted.com",,,v=spf1 a include:_spf1.mckesson.com include:_spf.salesforce.com -all,v=DMARC1;p=reject;sp=reject;adkim=r;aspf=r;fo=1;pct=100;rf=afrf;ri=86400;rua=mailto:dmarc_rua@emaildefense.proofpoint.com;ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,clarusonesourcing.com,,,,,,,ep1ns01.mckesson.com|ep2ns03.mckesson.org|ep1ns04.mckesson.com|ep2ns01.mckesson.com|ep1ns02.mckesson.net|ep1ns03.mckesson.org|ep2ns02.mckesson.net,,
drugmarts.ca,drugmarts.ca,False,True,False,,,,,,,,,,,"0, drugmarts-ca.mail.protection.outlook.com",,,v=spf1 include:spf.protection.outlook.com -all,,,,104.47.75.228 does not have any reverse DNS (PTR) records,,,A DMARC record does not exist for this domain or its base domain,,ns29.domaincontrol.com|ns30.domaincontrol.com,,
groupeproxim.ca,groupeproxim.ca,False,True,True,r,r,1,reject,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,reject,"10, mxa-0016dd03.gslb.pphosted.com|10, mxb-0016dd03.gslb.pphosted.com",,,v=spf1 mx a ip4:199.47.57.166/32 ip4:199.47.57.165/32 ip4:209.171.113.96 include:spf-0016dd03.pphosted.com include:ofsys.com include:spf.protection.outlook.com ~all,v=DMARC1; p=reject; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com;fo=1,groupeproxim.ca,,,,,,,ep2ns03.mckesson.org|ep2ns01.mckesson.com|ep1ns02.mckesson.net|ep1ns03.mckesson.org|ep1ns04.mckesson.com|ep1ns01.mckesson.com|ep2ns02.mckesson.net,,
guardian-ida-remedysrx.ca,guardian-ida-remedysrx.ca,False,True,True,r,r,1,reject,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,reject,"10, mxa-0016dd03.gslb.pphosted.com|10, mxb-0016dd03.gslb.pphosted.com",,,v=spf1 mx ip4:209.171.113.0/24 include:spf-0016dd03.pphosted.com include:spf.protection.outlook.com include:ofsys.com include:Hybrid.mckesson.ca -all,v=DMARC1; p=reject; sp=reject; adkim=r; aspf=r; fo=1; pct=100; rf=afrf; ri=86400; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,guardian-ida-remedysrx.ca,,,,,,,ep1ns03.mckesson.org|ep1ns02.mckesson.net|ep2ns01.mckesson.com|ep2ns02.mckesson.net|ep1ns01.mckesson.com|ep1ns04.mckesson.com|ep2ns03.mckesson.org,,
guardianrx.ca,guardianrx.ca,False,False,False,,,,,,,,,,,,,,,,,,No MX records found. Is the domain parked?,"('guardianrx.ca does not have a SPF TXT record ', 'guardianrx.ca')",,A DMARC record does not exist for this domain or its base domain,,ns41.domaincontrol.com|ns42.domaincontrol.com,,
healthmart.com,healthmart.com,False,False,False,,,,,,,,,,,"10, aspmx.l.google.com|20, alt1.aspmx.l.google.com|20, alt2.aspmx.l.google.com|30, aspmx2.googlemail.com|30, aspmx3.googlemail.com",,,"v=spf1,mx,a,ip4:167.89.20.220,include:sendgrid.net,~all",,,,,"healthmart.com: Expected end_of_statement or mechanism at position 6 (marked with ➞) in: v=spf1➞,mx,a,ip4:167.89.20.220,include:sendgrid.net,~all",,"Unrelated TXT records were discovered. These should be removed, as some receivers may not expect to find unrelated TXT records at _dmarc.healthmart.com

globalsign-domain-verification=BEA769D0582ADF6143AAB11FB5FE5406",,ep2ns03.mckesson.org|ep2ns02.mckesson.net|ep2ns01.mckesson.com|ep1ns04.mckesson.com|ep1ns03.mckesson.org|ep1ns02.mckesson.net|ep1ns01.mckesson.com,,
inviva.ca,inviva.ca,False,True,True,r,r,1,reject,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,reject,"10, mxa-0016dd03.gslb.pphosted.com|20, mxb-0016dd03.gslb.pphosted.com",,,v=spf1 mx ip4:199.47.57.165/32 ip4:199.47.57.166/32 include:spf-0016dd03.pphosted.com include:spf.protection.outlook.com ~all,v=DMARC1;p=reject;rua=mailto:dmarc_rua@emaildefense.proofpoint.com;ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com;fo=1,inviva.ca,,,,,,,ep1ns04.mckesson.com|ep1ns01.mckesson.com|ep2ns01.mckesson.com|ep1ns02.mckesson.net|ep2ns03.mckesson.org|ep2ns02.mckesson.net|ep1ns03.mckesson.org,,
mckesson.com,mckesson.com,False,True,True,r,r,1,none,100,a:f:r:f,86400,mailto:mckesson@rua.agari.com|mailto:dmarc_rua@emaildefense.proofpoint.com|mailto:dmarc@mckesson.com,mailto:mckesson@ruf.agari.com|mailto:dmarc_ruf@emaildefense.proofpoint.com|mailto:dmarc@mckesson.com,none,"10, mx0a-0016dd01.pphosted.com|10, mx0b-0016dd01.pphosted.com",,,v=spf1 include:_spf.salesforce.com include:servers.mcsv.net include:_spf1.mckesson.com include:_spf2.mckesson.com include:spf.bananatag.com ~all,"v=DMARC1; p=none; sp=none; adkim=r; aspf=r; fo=1; pct=100; rf=afrf; ri=86400; rua=mailto:mckesson@rua.agari.com,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc@mckesson.com; ruf=mailto:mckesson@ruf.agari.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,mailto:dmarc@mckesson.com",mckesson.com,,,,,,Some DMARC reporters might not send to more than two rua URIs|Some DMARC reporters might not send to more than two ruf URIs,ep2ns03.mckesson.org|ep2ns02.mckesson.net|ep2ns01.mckesson.com|ep1ns04.mckesson.com|ep1ns03.mckesson.org|ep1ns02.mckesson.net|ep1ns01.mckesson.com,,
medicineshoppe.ca,medicineshoppe.ca,False,True,True,r,r,1,none,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,none,"10, mxa-0016dd03.gslb.pphosted.com|10, mxb-0016dd03.gslb.pphosted.com",,,v=spf1 mx ip4:209.171.113.96/32 include:spf-0016dd03.pphosted.com include:spf.protection.outlook.com include:ofsys.com ~all,v=DMARC1;p=none;rua=mailto:dmarc_rua@emaildefense.proofpoint.com;ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com;fo=1,medicineshoppe.ca,,,,,,,ep1ns02.mckesson.net|ep2ns01.mckesson.com|ep1ns03.mckesson.org|ep2ns03.mckesson.org|ep1ns01.mckesson.com|ep1ns04.mckesson.com|ep2ns02.mckesson.net,,
rexall.ca,rexall.ca,False,True,True,r,r,1,none,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,none,"10, mxa-0016dd05.gslb.pphosted.com|20, mxb-0016dd05.gslb.pphosted.com",,,v=spf1 ip4:54.208.42.208 ip4:54.208.65.89 ip4:199.71.244.0/22 ip4:199.71.248.0/22 ip4:107.6.7.32/27 ip4:107.6.7.128/28 ip4:100.50.10.64/27 ip4:216.16.227.134/32 ip4:107.23.213.103/32 ip4:107.23.213.60/32 ip4:107.23.203.139/32 ip4:107.23.174.218/32 ip4:107.23.184.153/32 ip4:54.208.89.93/32 ip4:54.208.96.31/32 ip4:107.20.210.250 ip4:52.1.14.157 ip4:54.229.2.165 ip4:52.30.130.201 ip4:54.153.131.110 ip4:54.66.252.242 include:spf.protection.outlook.com include:amazonses.com include:spf-0016dd05.pphosted.com -all,v=DMARC1; p=none; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com;fo=1,rexall.ca,,,,,,,ns4.p02.dynect.net|ns3.p02.dynect.net|ns1.p02.dynect.net|ns2.p02.dynect.net,,
