domain,base_domain,dnssec,spf_valid,dmarc_valid,dmarc_adkim,dmarc_aspf,dmarc_fo,dmarc_p,dmarc_pct,dmarc_rf,dmarc_ri,dmarc_rua,dmarc_ruf,dmarc_sp,mx,tls,starttls,spf_record,dmarc_record,dmarc_record_location,mx_error,mx_warnings,spf_error,spf_warnings,dmarc_error,dmarc_warnings,ns,ns_error,ns_warnings
1docway.com,1docway.com,False,False,True,r,r,1,none,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,none,"1, mailrnh.corpmailsvcs.com",,,v=spf1 a mx include:spf.mtasv.net include:mailgun.org include:_spf.paubox.com include:_spfv4fw.corpmailsvcs.com include:_spfv4corpms.corpmailsvcs.com include:_spfv4rnh.corpmailsvcs.com include:_spfv4comm.corpmailsvcs.com -all,v=DMARC1; p=none; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,1docway.com,,"The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 149.111.205.117 is ovarp0671.corpmailsvcs.com, but the A/AAAA DNS records for ovarp0671.corpmailsvcs.com do not resolve to 149.111.205.117",Parsing the SPF record requires 11/10 maximum DNS lookups - https://tools.ietf.org/html/rfc7208#section-4.6.4,,,,abby.ns.cloudflare.com|jerome.ns.cloudflare.com,,
aarpmedicareplans.com,aarpmedicareplans.com,False,True,True,r,r,1,reject,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,reject,"10, mail1.corpmailsvcs.com|10, mail10.corpmailsvcs.com|10, mail11.corpmailsvcs.com|10, mail128.corpmailsvcs.com|10, mail131.corpmailsvcs.com|10, mail134.corpmailsvcs.com|10, mail17.corpmailsvcs.com|10, mail2.corpmailsvcs.com|10, mail20.corpmailsvcs.com|10, mail21.corpmailsvcs.com|10, mail27.corpmailsvcs.com|10, mail30.corpmailsvcs.com|10, mail33.corpmailsvcs.com|10, mail36.corpmailsvcs.com|10, mail50.corpmailsvcs.com|10, mail51.corpmailsvcs.com",,,v=spf1 include:_spfv4.corpmailsvcs.com -all,v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,aarpmedicareplans.com,,,,,,,edns4.ultradns.com|edns4.ultradns.net|edns4.ultradns.org|edns4.ultradns.biz,,
accuregsoftware.com,accuregsoftware.com,False,True,True,r,r,1,none,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,none,"5, mailrnh.corpmailsvcs.com",,,v=spf1 include:_spfae.corpmailsvcs.com include:spf.protection.outlook.com -all,v=DMARC1; p=none; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,accuregsoftware.com,,,,,,,evan.ns.cloudflare.com|rihana.ns.cloudflare.com,,
ace-endoscopy.com,ace-endoscopy.com,False,True,True,r,r,0,reject,100,a:f:r:f,86400,mailto:e9fbkgxn@ag.c1.dmarcian.com,mailto:e9fbkgxn@fr.c1.dmarcian.com,reject,"0, mail.ace-endoscopy.com",,,v=spf1 -all,v=DMARC1; p=reject; rua=mailto:e9fbkgxn@ag.c1.dmarcian.com; ruf=mailto:e9fbkgxn@fr.c1.dmarcian.com;,ace-endoscopy.com,,The domain mail.ace-endoscopy.com does not exist,,,,,pdns11.domaincontrol.com|pdns12.domaincontrol.com,,
advanced-therapy.org,advanced-therapy.org,False,True,True,r,r,1,reject,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,reject,"0, mailrnh.corpmailsvcs.com",,,v=spf1 ip4:209.160.104.115 ip4:209.160.104.120 ip4:66.206.11.214 include:_spfae.corpmailsvcs.com include:spf.protection.outlook.com ~all,v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,advanced-therapy.org,,,,,,,edns4.ultradns.org|epla1.corpnamesvcs.com|edns4.ultradns.net|epla2.corpnamesvcs.com|edns4.ultradns.biz|edns4.ultradns.com,,
advancedsurgcenter.com,advancedsurgcenter.com,False,False,False,,,,,,,,,,,"0, mail.advancedsurgcenter.com",,,v=spf1 ip4:50.87.253.164 a mx include:websitewelcome.com ~all,,,,,Parsing the SPF record requires 12/10 maximum DNS lookups - https://tools.ietf.org/html/rfc7208#section-4.6.4,,A DMARC record does not exist for this domain or its base domain,,ns2.bluehost.com|ns1.bluehost.com,,
advancedsurgerycenterclifton.com,advancedsurgerycenterclifton.com,False,False,False,,,,,,,,,,,,,,,,,,No MX records found. Is the domain parked?,"('advancedsurgerycenterclifton.com does not have a SPF TXT record ', 'advancedsurgerycenterclifton.com')",,A DMARC record does not exist for this domain or its base domain,,ns19.domaincontrol.com|ns20.domaincontrol.com,,
advancedsurgerycenternorthernutah.com,advancedsurgerycenternorthernutah.com,False,False,False,,,,,,,,,,,,,,,,,,No MX records found. Is the domain parked?,"('advancedsurgerycenternorthernutah.com does not have a SPF TXT record ', 'advancedsurgerycenternorthernutah.com')",,A DMARC record does not exist for this domain or its base domain,,ns17.domaincontrol.com|ns18.domaincontrol.com,,
agcfpa.com,agcfpa.com,False,True,False,,,,,,,,,,,"0, agcfpa-com.mail.protection.outlook.com",,,v=spf1 include:spf.protection.outlook.com -all,,,,"The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 52.101.11.10 is mail-sa9pr03cu00202.inbound.protection.outlook.com, but the A/AAAA DNS records for mail-sa9pr03cu00202.inbound.protection.outlook.com do not resolve to 52.101.11.10|The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 52.101.11.9 is mail-sn1pr02cu00101.inbound.protection.outlook.com, but the A/AAAA DNS records for mail-sn1pr02cu00101.inbound.protection.outlook.com do not resolve to 52.101.11.9",,,A DMARC record does not exist for this domain or its base domain,,ns100.worldnic.com|ns99.worldnic.com,,
ahni.com,ahni.com,False,True,True,r,r,1,none,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,none,"1, mailrnh.corpmailsvcs.com",,,v=spf1 include:_spfv4.corpmailsvcs.com ip4:161.249.150.232 ~all,v=DMARC1; p=none; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,ahni.com,,,,,,,dns1.cscdns.net|dns2.cscdns.net,,
